conflict_id,country,location,side_a,side_b,year,region_label,intensity_level,intensity_label,conflict_type_label,lat,lon
227,India,India,Government of India,CPI-Maoist,2017,Asia,1,Minor Conflict,Intrastate,34,90
230,Yemen (North Yemen),Yemen (North Yemen),Government of Yemen (North Yemen),"AQAP, Forces of the Presidential Leadership Council, GPC",2017,Middle East,2,War,Internationalized Intrastate,29,42
231,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),KIO,2017,Asia,1,Minor Conflict,Intrastate,34,90
259,Iraq,Iraq,Government of Iraq,IS,2017,Middle East,2,War,Internationalized Intrastate,29,42
283,Democratic Republic of Congo,DR Congo (Zaire),Government of DR Congo (Zaire),"CNPSC, Kamuina Nsapu, M23, MNR",2017,Africa,2,War,Internationalized Intrastate,-2,22
297,Nigeria,Nigeria,Government of Nigeria,JAS,2017,Africa,2,War,Internationalized Intrastate,-2,22
299,Syria,Syria,Government of Syria,Syrian insurgents,2017,Middle East,2,War,Internationalized Intrastate,29,42
308,Philippines,Philippines,Government of Philippines,ASG,2017,Asia,1,Minor Conflict,Internationalized Intrastate,34,90
309,Sudan,Sudan,Government of Sudan,"SARC, SLM/A, SRF",2017,Africa,1,Minor Conflict,Intrastate,-2,22
314,Uganda,Uganda,Government of Uganda,ADF,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
333,Afghanistan,Afghanistan,Government of Afghanistan,Taleban,2017,Asia,2,War,Internationalized Intrastate,34,90
337,Somalia,Somalia,Government of Somalia,Al-Shabaab,2017,Africa,2,War,Internationalized Intrastate,-2,22
353,Cameroon,Cameroon,Government of Cameroon,JAS,2017,Africa,1,Minor Conflict,Intrastate,-2,22
354,Turkey,Turkey,Government of Turkey,PKK,2017,Middle East,1,Minor Conflict,Intrastate,29,42
364,India,India,Government of India,Kashmir insurgents,2017,Asia,1,Minor Conflict,Intrastate,34,90
386,Algeria,Algeria,Government of Algeria,AQIM,2017,Africa,1,Minor Conflict,Intrastate,-2,22
387,Angola,Angola,Government of Angola,FLEC-FAC-TN,2017,Africa,1,Minor Conflict,Intrastate,-2,22
388,Azerbaijan,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,2017,Europe,1,Minor Conflict,Internationalized Intrastate,54,25
391,Egypt,Egypt,Government of Egypt,"Harakit Sawa'id Misr, Jama'at Ansar al-Islam",2017,Middle East,1,Minor Conflict,Intrastate,29,42
404,Pakistan,Pakistan,Government of Pakistan,TTP,2017,Asia,1,Minor Conflict,Internationalized Intrastate,34,90
416,Central African Republic,Central African Republic,Government of Central African Republic,anti-Balaka,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
418,United States of America,United States of America,Government of United States of America,al-Qaida,2017,Americas,1,Minor Conflict,Internationalized Intrastate,-14,-60
423,Thailand,Thailand,Government of Thailand,Patani insurgents,2017,Asia,1,Minor Conflict,Intrastate,34,90
